The Project Gutenberg EBook of A Complete Dictionary of Synonyms and,,
Antonyms  by Samuel Fallows,,
Adjourn   SYN  Postpone  suspend  defer  prorogue  delay  protract  put off   ANT:  Expedite  despatch  urge  hasten  conclude  complete  seal consummate  terminate, Adjourn   SYN  Postpone  suspend  defer  prorogue  delay  protract  put off   ,  Expedite  despatch  urge  hasten  conclude  complete  seal consummate  terminate
Adjudge  Adjudicate  SYN  Confer  award  assign  present  decide  arbitrate  ANT  Withheld  reserve  retain  refuse  dismiss  relegate, Adjudge  Adjudicate  SYN  Confer  award  assign  present  decide  arbitrate  ANT  Withheld  reserve  retain  refuse  dismiss  relegate,
Adjunct,  Addition  additament  attachment  appendage  auxiliary  appurtenance  aid  acquisition  advantage  help  ANT  Essence  substance  body  clog  detriment  impediment  draw  geek  hindrance  obstruction  detraction    ,
Adjure, Conjure  entreat  en join  urge  supplicate  move  beseech  command  ATN:  Deprecate  remonstrate  dare expostulate  warn  dissuade  prohibit  inhibit  defy    ,
Adjust,  Harmonize  collocate  arrange  localize  adapt  affix  right  suit  classify  set in order  reconcile  accommodate  compose  ANT  Dislocate  disarrange  disturb  confound  dismember  disorder  confuse  discompose  derange    ,
Adjuvant,  Accessory  auxiliary  promotive  productive  assistant  ministrative  ancillary  useful  conducive  ,  Obstructive  detractive  retardative  preventive  counteractive  irrelevant useless
Admeasurement, Size  adjustment  dimensions  adaptation  ,  misshapement  misconformity  misï¬t  mismatch   mismeasurement
Adminlster,  Distribute award  accord  dole  give  impart  afford  discharge  dispense  execute  perform  furnish  contribute  conduct  ,  Withdraw  withhold  refuse  retain  assume  resume  resign  deny  divert  appropriate  misadminister  betray  misconduct  mismanage
Admirable,  Wonderful  excellent  surprising  astonishing  praise- worthy  pleasing  ,  Commonplace  mediocre  ridiculous  abominable  displeasing
Admiration,  Wonder  approval  appreciation  adoration  reverence  ,  Disapproval  disesteem  contumely  opprobrium  ridicule   contempt  dislike
Admire   SYN : Wonder  gaze  approve  appreciate  extol  esteem  love  applaud  affect  adore  revere  respect  ANT:  Abhor  ridicule  disesteem  execrate  abominate  contemn  mislike  despise  alight,  Admire   SYN : Wonder  gaze  approve  appreciate  extol  esteem  love  applaud  affect  adore  revere  respect  ,  Abhor  ridicule  disesteem  execrate  abominate  contemn  mislike  despise  alight
Admissible,  Allowable  permissible  probable  reasonable  get  proper fair  right  qualified  ,  Unallowable  inadmissible  improper  unreasonable  absurd  preposterous  monstrous   unfair  wrong unqualiï¬ed  excluded
Admission, Concession  allowance  acknowledgement  acceptance  , Denial  protestation  negation  contradiction  rejection
Admit, Receive  pase  permit  accept  grant  concede  allow  acknowledge  confess  own  avow  suffer  , Exclude  debar  disallow  reject  deny  discharge  dismiss  eject  extrude  repudiate  disavow  disown
Admittance, Introduction  entrance  pass  permit  passport  privilege  acceptance  welcome  reception  , Exclusion  denial  ejection  prohibition  bar  hindrance  rejection  repudiation
Admonish, Remind  forewarn  advise  warn  dissuade  caution  counsel  reprove  censure  rebuke  , Encourage  instigate  abet  incite  urge  applaud  countenance
Admonition, Warning  advice  counsel  caution  reproof  , Applauding  encouraging  inciting  urging  countenancing
Ado, Hubbub  commotion  fuse  excitement  , Calm  composure  quiet  orderliness  staidness  tranquillity
Adopt, Assume  select  affiliate  take  elect  arrogate  choose  endorse  avow  appropriate  , Reject  decline  repudiate  disavow  discard  renounce  abandon  disown  disclaim
Adore, Admire  hallow  glorify  praise  venerate  reverence  worship  idolize  , Abhor  despise  disesteem  abominate  execrate  blaspheme
Adorn, Beautify  bedeck  ornament  decorate  embellish  deck  garnish  gild  enrich  , Mar  spoil  deform  deface  disfigure  impoverish  denude  despoil  strip  bare  disembellish
Adrift, Loose  afloat  agog  abroad  abroach  distracted  disordered  , 'fait victorious'  tight  right  lashed  moored  secure  collected  composed
Adroit, Handy  skillful  dexterous  expert  proficient  clever  , Awkward  clumsy  unskillful  inexpert  lubberly
Adscititious or Ascititious, Adventitious  superfluous  redundant  alien  artificial  spurious  smuggled  , Essential  necessary  veritable  regular  ingenerate  ingrained  congenital  fundamental  genuine  inherent  proper
Adulation, Flattery  compliment  sycophancy  courtship  incense  praise  blandishment  fawning  cringing  , Detraction  obloquy  defamation  calumny  traducement  sarcasm  ridicule  satire  bespatterment
Adult, Man  woman  , Youth  stripling  boy  child  infant
Adulterate, Debase  corrupt  deteriorate  vitiate  contaminate  , Make pure  genuine  undeteriorate
Adulterated, Impure  ingenuine  spurious  concocted  mixed  falsified  deteriorated  garbled  vitiated  , Pure  genuine  original  unmixed  unadulterated  undeteriorated  sound
Adumbration, Shadow  foreshadowing  presage  prognostic  delineation  premonition  hint  sketch  prototype  suggestion  , Body  substance  fulfillment  realization  substantiation  antitype
Advance -v, Propel  elevate  promote  further  lend  propagate  progress  increase  prosper  rise  , Retard  hinder  withhold  withdraw  recall  depress  degrade  suppress  oppose  retreat  decrease
Advancement  [See ADVANCE], Advancement  [See ADVANCE]    ,
Advantage, Gain  success  superiority  help  assistance  benefit  good  avail  interest  utility  service  profit  acquisition  , Loss  disappointment  defeat  frustration  inferiority  obstacle  obstruction  difficulty  dilemma  disadvantage  drawback
Advent, Approach  arrival  accession  coming  , Departure  exit  exodus  retirement  relinquishment  quittance
Adventitious, Extrinsic  redundant  superfluous  adscititious irregular  casual  imported  , Regular  proper  pertinent  essential  appropriate  necessary  Intrinsic
Adventure, Incident  crisis  chance  hazard  occurrence  event  enterprise  casualty  undertaking  experiment  venture  trial  romance  , Matter-of-fact  matter-of-course
Adventurous, Bold  brave  daring  enterprising  courageous  gallant  fearless  venturesome  rash  chivalrous  hazardous  , Timid  unenterprising  inadventurous  cowardly  nervous  hesitating  cautious
Adversary, Antagonist  foe  enemy  rival  assailant  , Accessory  abettor  alder  friend  helper  assistant  ally  accomplice
Adverse, Opposed to  unlucky  hard  hostile  antagonistic  unpropitious  opposite  conflicting  contrary  unfavorable  , Favorable  friendly  amicable  propitious  fortunate  lucky
Adversity, Ill-luck  misfortune  misery  calamity  disaster  distress  unsuccess  failure  ruin  trouble  affliction  sorrow  , Good-luck  prosperity  happiness  success  advancement
Advert to, Refer to  allude to  notice  remark  glance at  regard  touch upon  hint at  , Ignore  pass  drop  omit  overlook
Advertent, Attentive  regardful  mindful  watchful  thoughtful  observant  considerate  , Inattentive  inadvertent  casual  thoughtless  heedless  inobservant  inconsiderate
Advertise, Publish  inform  advise  circulate  announce  notify  proclaim  promulge  , Suppress  hush  conceal  ignore  hoodwink  misguide  mislead  misinform
Advice  [See ADVISE], Advice  [See ADVISE]    ,
Advise, Admonish  warn  deliberate  counsel  persuade  urge  prompt  instigate  incite  instruct  acquaint  inform  , Dissuade  deter  expostulate  remonstrate  prohibit  inhibit  restrain
Advisable, Politic  judicious  expedient  desirable  wise  prudent  beneficial  profitable  , inadvisable  impolitic  Injudicious  inexpedient  undesirable  unprofitable
Advocate -n, Pleader  counsellor  upholder  propagator  promoter  supporter  countenancer  defender  maintainer  , Opponent  adversary  discountenancer  accuser  impugner  gainsayer
Advocate r   [See NOUN], Advocate r   [See NOUN]    ,
Afar, Abroad  away  aloof  , Near  at home  close
Affable, Courteous  accessible  condescending  conversible  gracious  sociable  gentle  complaisant  urbane  polite  easy  approachable  , Exclusive  discourteous  distant  inaccessible  unapproachable  inconversible  haughty  contemptuous  supercilious
Affair, Matter  business  concern  subject  topic  transaction  , Detail  item  point  feature  circumstance
Affect, Like  desire  favor  seek  assume  move  influence  concern  interest  feign  pretend  , Dislike  eschew  shun  repel  repudiate
Affectation, Pretence  artifice  hypocrisy  assumption  simulation  mannerism  euphuism  airs  , Genuineness  naturalness  un affectedness  simplicity  artlessness
Affectibility, Sensibility  sensitiveness  susceptibility  impressibility  excitability  irritability  nervousness  , Insensibility  insensateness  hebetude  unimpressibleness  callousness
Affection, Influence  condition  state  inclination  bent  mood  humor  feeling  love  desire  propensity  , Insensibility  indifference  repugnance  disaffection  repulsion
Affiance, Homage  trust  confidence  reliance  betrothal  fealty  faith  plighting  , Unfealty  disloyalty  treason  suspicion  Infidelity  falseness
Affiliate, Annex  graft  incorporate  unite  adopt  inoculate  , Dismember  disannex  disaffiliate  sever  transplant  separate  disjoin  disunite
Affiliation  [See AFFILIATE], Affiliation  [See AFFILIATE]    ,
Affinity, Relationship  relation  kindred  conformity  connection  alliance  similarity  analogy  homogeneity  harmony  correlativeness  sympathy  interdependence  interconnection  intercommunity  , Dissimilarity  discordance  disconnection  independence  antagonism  antipathy  repugnance  interrepulsiveness
Affirm, Assert  swear  testify  tell  aver  propound  asseverate  depose  state  declare  endorse  maintain  , Deny  dispute  doubt  demur  negative  contradict  gainsay  oppugn  impugn  oppose
Affix, Attach  annex  subjoin  adjoin  connect  fasten  unite  append  , Detach  disunite  separate  remove  disengage  unfasten
Affliction, Trouble  trial  grief  pain  disease  misery  hardship  sorrow  , Consolation  relief  alleviation  assuagement  more (or  positively:)  boon  blessing  gratification  pleasure
Affluence, Abundance  plenty  wealth  riches  opulence  , Want  scarcity  penury  indigence  poverty  impecuniosity  straitness  lack
Afflux, Accession  importation  augmentation  increase  addition  influx  , Decrease  detriment  detraction  diminution  exhaustion  failure  ebb
Afford, Produce  supply  give  yield  grant  confer  bestow  impart  administer  extend  , Withhold  deny  withdraw  retain  stint  grudge
Affranchise, Free  liberate  enfranchise  manumit  qualify  open  , Enthral  enslave  subjugate  disfranchise  disqualify  close
Affray, Broil  tumult  brawl  melee  fracas  disturbance  uproar  quarrel  strife  wrangle  altercation  , Order  tranquillity  pacification  dispersion  quelling
Affright, Startle  astonish  terrify  alarm  dismay  cow  frighten  scare  , Encourage  embolden  reassure
Affront, Outrage  provocation  insult  ill-treatment  abuse  wrong  offence  Indignity  , Homage  salutation  courtesy  apology  amends  compliment
Afire, Ablaze  alight  burning  ignited  , Out  extinguished  quenched
Afloat, Adrift  abroad  at sea  abroach  loose  distracted  dazed  , Ashore  snug  tight  close  fast  collected  concentrated
Afoot, Working  launched  afloat  agoing  inaugurated  started  instituted  established  , Uncommenced  Incomplete  projected  proposed  contemplated  designed
Afore, Precedent  antecedent  foregoing  ahead  afront  before  beyond  sooner  , Behind  following  subsequently  after  astern  aback  rearwards
Aforesaid, Above-mentioned  stated  forenamed  foregoing  preceding  forementioned  , Following  subjoined  aftercited  forthcoming
Afraid, Fearful  apprehensive  timid  timorous  cowardly  fainthearted  cautious  careful  frightened  alarmed  terrified  suspicious  distrustful  anxious  , Fearless  inapprehensive  unsolicitous  easy  indifferent  secure  confident  bold  hopeful  eager  reckless  audacious  venturesome
Afresh, Anew  again  frequently  repeatedly  intermittently  , Continuously  uniformly  uninterruptedly  unintermittently  connectedly
Aft  [see ABAFT], Aft  [see ABAFT]    ,
After, Behind  following  succeeding  , Afore  before  Introducing  preceding
Again, Anew  afresh  repeatedly  frequently  , Continuously  uniformly  uninterruptedly  unintermittently  once
Against, Over  opposite  abutting  opposing  resisting  despite  across  athwart  counter  , With  for  accompanying  aiding  suiting  promoting
Agape, Astare  agog  astonished  curious  inquisitive  entertained  amused  eager  , Incurious  listless  lukewarm  absent
Age, Period  generation  era  epoch  date  century  antiquity  senility  eldership  seniority  , Youth  infancy  boyhood  childhood  moment  instant
Aged, Old  ancient  antiquated  elderly  senile  patriarchal  primeval  time-honored  olden  , Juvenile  youthful  young  upstart  recent  fresh
Agency  [See AGENT], Agency  [See AGENT]    ,
Agent, Doer  performer  actor  force  means  instrument  influence  cause  promoter  operator  , Counteragent  counteractor  counteraction  opponent  neutralizer
Agglomerate, Accumulate  conglomerate  lump  agglutinate  entangle  heap  confuse  amalgamate  , Scatter  dissipate  sift  separate  disentangle  disject  divide  disunite  part  unravel  detach  difference
Aggrandize, Promote  dignify  exalt  ennoble  enrich  advance  augment  make great  magnify  elevate  signalize  , Depress  degrade  enfeeble  Impoverish  debase  humiliate  lower  abase  disgrace  dishonor
Aggravate, Exasperate  provoke  wound  heighten  intensify  irritate  make worse  increase  enhance embitter  magnify  , Soothe  conciliate  assuage  diminish  palliate  neutralize  soften  lessen  alleviate  attenuate  mitigate
Aggregate  Aggregation, Sum  result  total  mass  whole  totality  collection  amount  collation  combination  , Dissipation  dispersion  separation  division  segregation  disunion  individual  unit  element  ingredient  item
Aggression, Invasion  attack  offence  onslaught  encroachment  assault  provocation  incursion  , Resistance  retaliation  repulsion  withdrawal  retreat  evacuation  accession  acceptance  qualification
Aggrieve, Wound  trouble  annoy  hurt  vex  disappoint  molest  maltreat  grieve  afflict  injure  wrong  , Soothe  conciliate  assuage  console  satisfy  compensate
Aghast, Affrighted  astonished  astare  dumbfounded  bewildered  horror-struck  , Cool  fearless  unaffected  unmoved  indifferent  unexcited  unalarmed
