The Project Gutenberg EBook of A Complete Dictionary of Synonyms and,,
Antonyms  by Samuel Fallows,,
Actor, Doer  worker  agent  performer  principal  player  tragedian  comedian  , [See AGENT]
Actual, Developed  positive  unquestionable  demonstrable  certain  real  authentic  , Potential  undeveloped  hypothetical  supposition  possible  virtual  theoretical  fabulous  fictitious  unreal
Actually, Verity  truly  decidedly  assuredly  positively  , Potentially  hypothetically  theoretically
Actuate, Urge  instigate  stir  induce  influence  incline  dispose  incite  impel  prompt  drive  , Deter  discourage  retard  inhibit  hinder  prevent  impede  dissuade
Acuity, Pointedness  acylation  acumination  , Bluntness  hebetude  obtuseness
Aculeated, Armed  spinous  acuminated  punctuous  , Unarmed  blunt  obtuse  stingless  pointless
Acumen, Point  penetrativeness  sharpness  discernment  talent  sagacity  , Bluntness  obtuseness  stupidity  dulness  indiscernment  hebetude
Acute, Pointed  penetrating  sagacious  perspicacious  keen  astute  piercing  sharp  shrewd  keen-sighted  severe  distressing  , Dull  blunt  obtuse  stupid  undiscerning  heavy  chronic  stolid
Acutely, Sharply  deeply  painfully  poignantly  intensely  , Bluntly  obtusely  stupidly  stolidly  pleasantly
Adage, Maxim  saying  motto  saw  apothegm  aphorism  byword  proverb  dictum  , Discourse  disquisition  yarn  harangue
Adapt, Fit  accommodate  suit  adjust  conform  admeasure  harmonize  attune  , Misfit  misconform  misapply
Adaptation, Accommodation  adjustment  admeasurement  conformity  coincidence  , Inconformity  incongruity  incompatibility  disharmony  misfit  malformation  mismeasurement
Add, Adduce  adjoin  increase  extend  enlarge  sum up  cast up  subjoin  amplify  annex  , Deduct  subtract  dissever  abstract
Addendum, Acquisition  improvement  supplement  complement  desideratum  concomitant  annexation  appendage  , Surplusage  detriment  deterioration  detraction  drawback
Addicted, Given  accustomed  prone  inclined  disposed  habituated  , Unaddicted  disinclined  unaccustomed  indisposed  averse  free
Additament, Adjunct  annexation  supplement  addition  acquisition  increase  augmentation  accession  , Deduction  detraction  drawback  decrement  deterioration
Addition, Accession  enlargement  increase  extension  accretion  appendage  , [See ADDITAMENT]
Address -n, Tact  manners  , Awkwardness  unmannerliness
Address -v, Accost  greet  salute  approach  apostrophize  appeal  hail  woo  court  , Elude  avoid  shun  ignore  pass
Adduce, Allege  apply  cite  advance  offer  introduce  produce  add  import  name  mention  quote  , Retract  except  withdraw  deduct  deduce  suppress
Adept, Expert  adroit  handy  master  performer  professor  artist  , Awkward  clumsy  inexpert  tyro  novice  lubber  blunderer
Adequate, Equal  sufficient  fit  satisfactory  full  competent  capable  able  , Unequal  insufficient  incompetent  inadequate
Adhere, Stick  cohere  cleave  hold  attach  unite  fix  join  cling  , Disunite  part  separate  divide  secede  sunder  sever
Adherence, Adhesion  attachment  devotion  fidelity  cleaving to  constancy  endearment  , Separation  disunion  unfaithfulness  desertion  treachery
Adherent, Follower  supporter  ally  disciple  admirer  backer  aid  partisan  , Opponent  deserter  adversary  renegade  antagonist
Adhesion  [See ADHERENCE], Adhesion  [See ADHERENCE]    ,
Adhesive   SYN  Sticky  viscous  glutinous  ANT  Inadhestive, Adhesive   SYN  Sticky  viscous  glutinous  ANT  Inadhestive    ,
Adieu   SYN  Goodbye (which is â€œGod be with yeâ€œ) farewell  leave-taking  parting salutation  valediction  ANT  Greeting  welcome  recognition  salutation, Adieu   SYN  Goodbye (which is â€œGod be with yeâ€œ) farewell  leave-taking  parting salutation  valediction  ANT  Greeting  welcome  recognition  salutation    ,
Adipose   SYN  Obese  corpulent  sebaceous  oleaginous  pinguetudinous  ANT  Leathery  skinny  bony  thin  anatomical  mummiï¬ed, Adipose   SYN  Obese  corpulent  sebaceous  oleaginous  pinguetudinous  ANT  Leathery  skinny  bony  thin  anatomical  mummiï¬ed    ,
Adit  SYN  Entrance  ingress  access  approach  avenue  ANT  Exit  egress  mouth  outlet  debouchure, Adit  SYN  Entrance  ingress  access  approach  avenue  ANT  Exit  egress  mouth  outlet  debouchure    ,
Adjacent,  Near  neighboring  contiguous  close  nigh  bordering  conterminous  ANT  Remote  distant  separate    ,
Adjoin  -v t,  annex  add  connect  append  supplement  attach  unite  -v i   Border  neighbor  touch  abut  approximate  verge  trench  ,  -v t  Disjoin  dismember  disconnect  detach  disintegrate   disunite  v  i  Part  separate  recede  return  diverge  be distant  removed  remote  incontiguous
